step,t_s,n_m,e_m,d_m,ax_body,ay_body,az_body,gx_body,gy_body,gz_body,m0,m1,m2,m3,imu_recv,navsat_recv,motor_send
145,1.450,0.0000,0.0000,-0.6478,-0.0052,0.0016,-9.8593,0.0015,-0.0005,-0.0013,0.769,0.769,0.769,0.769,385,84,146
146,1.460,0.0000,0.0000,-0.6559,0.0025,0.0005,-9.8855,0.0006,-0.0008,0.0001,0.767,0.767,0.767,0.767,387,85,147
147,1.470,0.0000,0.0000,-0.6639,0.0007,-0.0035,-9.8899,0.0008,-0.0012,0.0001,0.764,0.764,0.764,0.764,390,86,148
148,1.480,0.0000,0.0000,-0.6639,-0.0033,0.0031,-9.8579,-0.0001,0.0013,0.0008,0.768,0.768,0.768,0.768,392,86,149
149,1.490,0.0000,0.0000,-0.6720,0.0007,0.0009,-9.8592,0.0006,0.0003,-0.0009,0.765,0.765,0.765,0.765,394,87,150
150,1.500,0.0000,0.0000,-0.6720,-0.0008,-0.0028,-9.8488,0.0001,-0.0004,0.0001,0.769,0.769,0.769,0.769,397,87,151
151,1.510,0.0000,0.0000,-0.6801,0.0003,0.0008,-9.8753,0.0004,0.0027,0.0003,0.766,0.766,0.766,0.766,399,88,152
152,1.520,0.0000,0.0000,-0.6801,0.0027,-0.0032,-9.8785,-0.0002,0.0007,-0.0008,0.770,0.770,0.770,0.770,401,88,153
153,1.530,0.0000,0.0000,-0.6883,0.0006,0.0046,-9.8918,0.0001,0.0007,-0.0007,0.767,0.767,0.767,0.767,403,89,154
154,1.540,0.0000,0.0000,-0.6965,-0.0036,0.0022,-9.8979,0.0003,0.0019,-0.0004,0.764,0.764,0.764,0.764,406,90,155
155,1.550,0.0000,0.0000,-0.6965,0.0003,0.0011,-9.8706,-0.0002,-0.0008,0.0008,0.768,0.768,0.768,0.768,408,90,156
156,1.560,0.0000,0.0000,-0.7047,0.0024,-0.0005,-9.8767,0.0008,0.0007,0.0000,0.765,0.765,0.765,0.765,411,91,157
157,1.570,0.0000,0.0000,-0.7047,-0.0013,-0.0021,-9.8663,-0.0006,0.0016,0.0011,0.769,0.769,0.769,0.769,413,91,158
158,1.580,0.0000,0.0000,-0.7129,0.0025,0.0041,-9.8901,0.0003,0.0004,0.0002,0.766,0.766,0.766,0.766,416,92,159
159,1.590,0.0000,0.0000,-0.7212,0.0001,0.0024,-9.8841,0.0002,-0.0007,-0.0007,0.764,0.764,0.764,0.764,418,93,160
160,1.600,0.0000,0.0000,-0.7212,-0.0031,-0.0018,-9.8627,-0.0015,0.0004,0.0006,0.767,0.767,0.767,0.767,420,93,161
161,1.610,0.0000,0.0000,-0.7295,-0.0019,-0.0026,-9.8543,-0.0005,-0.0003,-0.0011,0.765,0.765,0.765,0.765,423,94,162
162,1.620,0.0000,0.0000,-0.7295,0.0001,0.0021,-9.8431,-0.0011,0.0004,0.0007,0.768,0.768,0.768,0.768,425,94,163
163,1.630,0.0000,0.0000,-0.7379,0.0010,-0.0062,-9.8612,-0.0006,-0.0023,0.0015,0.766,0.766,0.766,0.766,427,95,164
164,1.640,0.0000,0.0000,-0.7379,0.0022,-0.0019,-9.8671,0.0011,0.0009,0.0007,0.769,0.769,0.769,0.769,429,95,165
165,1.650,0.0000,0.0000,-0.7462,0.0010,-0.0032,-9.8927,-0.0006,0.0011,0.0007,0.766,0.766,0.766,0.766,432,96,166
166,1.660,0.0000,0.0000,-0.7546,0.0026,-0.0037,-9.8902,0.0003,0.0009,-0.0002,0.763,0.763,0.763,0.763,434,97,167
167,1.670,0.0000,0.0000,-0.7546,0.0014,0.0008,-9.8460,-0.0012,0.0007,0.0014,0.767,0.767,0.767,0.767,437,97,168
168,1.680,0.0000,0.0000,-0.7630,-0.0028,-0.0013,-9.8590,0.0004,-0.0001,-0.0002,0.764,0.764,0.764,0.764,439,98,169
169,1.690,0.0000,0.0000,-0.7630,0.0021,0.0022,-9.8471,-0.0002,-0.0005,0.0007,0.768,0.768,0.768,0.768,441,98,170
170,1.700,0.0000,0.0000,-0.7714,0.0014,0.0007,-9.8587,0.0004,-0.0003,-0.0007,0.765,0.765,0.765,0.765,443,99,171
171,1.710,0.0000,0.0000,-0.7799,-0.0004,-0.0005,-9.8558,0.0013,0.0011,0.0005,0.762,0.762,0.762,0.762,446,100,172
172,1.720,0.0000,0.0000,-0.7799,-0.0001,-0.0040,-9.8279,0.0005,0.0003,0.0004,0.766,0.766,0.766,0.766,448,100,173
173,1.730,0.0000,0.0000,-0.7884,-0.0031,-0.0002,-9.8249,0.0003,-0.0006,-0.0006,0.763,0.763,0.763,0.763,450,101,174
